latitude,longitude,elevation,timestamp
-40.0,20.0,0,2023-12-24 01:23:57
-40.0,21.8,0,2023-12-13 16:06:40
-40.0,23.6,0,2023-02-23 04:17:39
-40.0,25.400000000000002,0,2023-04-04 17:47:27
-40.0,27.200000000000003,0,2023-02-22 04:55:12
-40.0,29.000000000000004,0,2023-03-06 14:54:11
-40.0,30.800000000000004,0,2023-07-26 04:13:22
-40.0,32.6,0,2023-02-24 22:38:25
-40.0,34.4,0,2024-05-22 21:52:29
-40.0,36.199999999999996,0,2024-05-31 11:21:05
-40.0,37.99999999999999,0,2024-05-11 06:15:38
-40.0,39.79999999999999,0,2024-06-30 02:18:53
-40.0,41.59999999999999,0,2023-09-05 04:47:32
-40.0,43.399999999999984,0,2024-05-27 01:11:02
-40.0,45.19999999999998,0,2023-03-23 16:30:06
-40.0,46.99999999999998,0,2024-04-21 22:08:59
-40.0,48.799999999999976,0,2023-06-06 22:26:33
-40.0,50.59999999999997,0,2023-08-01 02:44:20
-40.0,52.39999999999997,0,2023-01-11 19:44:25
-40.0,54.19999999999997,0,2024-07-06 07:47:55
-40.0,55.999999999999964,0,2023-05-04 04:44:43
-40.0,57.79999999999996,0,2024-07-10 13:55:11
-40.0,59.59999999999996,0,2024-07-27 02:19:03
-40.0,61.399999999999956,0,2023-11-18 04:52:50
-40.0,63.19999999999995,0,2023-04-24 16:44:15
-40.0,64.99999999999996,0,2024-07-25 21:55:56
-40.0,66.79999999999995,0,2023-05-05 16:25:36
-40.0,68.59999999999995,0,2024-05-26 03:32:57
-40.0,70.39999999999995,0,2024-05-20 01:44:57
-40.0,72.19999999999995,0,2024-08-06 03:36:27
-40.0,73.99999999999994,0,2023-02-06 10:52:48
-40.0,75.79999999999994,0,2023-12-18 03:20:23
-40.0,77.59999999999994,0,2024-08-11 01:23:37
-40.0,79.39999999999993,0,2023-02-07 17:21:24
-40.0,81.19999999999993,0,2023-06-11 02:23:48
-40.0,82.99999999999993,0,2023-11-19 05:42:28
-40.0,84.79999999999993,0,2023-02-28 09:18:11
-40.0,86.59999999999992,0,2024-04-18 11:34:52
-40.0,88.39999999999992,0,2024-01-15 03:49:11
-40.0,90.19999999999992,0,2023-12-05 03:06:42
-40.0,91.99999999999991,0,2023-05-10 03:33:45
-40.0,93.79999999999991,0,2023-08-15 16:03:21
-40.0,95.59999999999991,0,2023-01-06 03:37:51
-40.0,97.3999999999999,0,2024-01-14 19:21:20
-40.0,99.1999999999999,0,2023-09-24 18:32:50
-38.2,20.0,0,2023-06-26 08:36:48
-38.2,21.8,0,2024-02-12 20:22:34
-38.2,23.6,0,2023-09-17 14:34:16
-38.2,25.400000000000002,0,2024-08-10 14:21:52
-38.2,27.200000000000003,0,2023-01-06 13:38:01
-38.2,29.000000000000004,0,2023-02-13 11:16:05
-38.2,30.800000000000004,0,2024-02-24 07:38:08
-38.2,32.6,0,2024-06-22 09:54:35
-38.2,34.4,0,2023-05-09 00:35:44
-38.2,36.199999999999996,0,2024-06-30 05:28:10
-38.2,37.99999999999999,0,2023-08-07 00:24:57
-38.2,39.79999999999999,0,2024-07-15 02:46:00
